Arduino Uno,,Farnell,£18.05

Arduino starter kit (w/ sensors),Sparkfun,Proto Pic,£40.42
  (USB, breadboard, jumpers, resistors
   flex, softpot, photocell, thermistor,
   leds, trim pot, buzzer, button)

Proto-PIC Arduino Starter Kit for UNO,,Proto Pic,£44.39
  (USB, Breadboard, jumpers, box, battery clip, breadboard shield, 
   LED, capacitors, resistors, diode, pot
   tilt, thermistor, photo resistor, buzzer, switches, servo)

Proto-PIC Components Starter Kit,,Proto Pic,£23.99
  (Same as above w/out Arduino)

Beginner Parts Kit,Sparkfun,Proto Pic,£23.83
  (caps, diodes, transistors, headers, switches, trimpot, opamp, regulator, timer, led, 7seg, photocell)

COMPONENTS KIT - BEGINNER,,Cooking Hacks,EDITION        E30.00
  (resistors, caps, pots, diodes, octocouplers, transistors, leds, speakers, buttons, wires, cutter)

ARDUINO SIDEKICK BASIC KIT,,Cooking Hacks,E20.00
  (Breadboard, jumper, led, cap, resistor, tilt, thermistor, photo resistor, diode, buzzer, button, switch, servo, pot, box)


Proto-PIC Basic Sensor Kit,,Proto Pic,£18.54
  (Magnetic, Softpot, Flex, piezo, breadboard)
Sensor Kit,Sparkfun,Proto Pic,£125.99
  HMC5883L magnetometer
  ADXL335 accelerometer
  ITG-3200 gyro
  PIR motion
  Maxbotix LV-EZ1 rangefinder
  HIH-4030 humidity
  IR Receiver
  BMP085 barometric
  piezo, reed, force resistor, photocell, Phototransistor, softpot, resistors


PIN HEADERS,,Cooking Hacks,EXPERIMENTAL PACK             E6.00
Resistor Kit - 1/4W,Sparkfun,Proto Pic,£7.79

Ladyada's,,Adafruit,Electronics Toolkit              $100

Alligator Test Leads - Multicolored 10 Pk,Sparkfun,Proto Pic,£2.44
1A USB Power Supply,,Proto Pic,£4.02
Half-size breadboard,Adafruit,Proto Pic,£5.94
Breadboard with Binding Posts,Sparkfun,Proto Pic,£10.57

DC Barrel Jack Adapter - Female,Sparkfun,Proto Pic,£1.79
DC Barrel Jack Adapter - Male,Sparkfun,Proto Pic,£2.41
Break Away Headers - Right Angle,Sparkfun,Proto Pic,£0.65
Break Away Headers - Straight,Sparkfun,Proto Pic,£0.65
Break Away Female Headers,Sparkfun,Proto Pic,£0.61
Hook-Up Wire - Assortment (Solid Core),Sparkfun,Proto Pic,£15.98
Hook-Up Wire - Assortment (Stranded),Sparkfun,Proto Pic,£15.98
Jumper Wire - JST Black Red,Sparkfun,Proto Pic,£0.86
JST Right-Angle Connector Thru-Hole 2Pin,Sparkfun,Proto Pic,£0.79
Barrel Jack to 2-pin JST,Sparkfun,Proto Pic,£2.52
Jumper wires 65pcs,Seeedstudio,Proto Pic,£5.99
Ribbon Cable - 10 wire (3ft),Sparkfun,Proto Pic,£0.70

Xino <> FTDI adaptor,,Ciseco,£1.00
FTDI Voltage Selectable board,,Proto Pic,£9.92
USB to Serial TTL Cable FTDI,Sparkfun,Proto Pic,£12.35

GPIO Breakout Board with Cable,,Proto Pic,£4.79
Slice of Pi/IO,,Ciesco,£5.96
Slice of Relay,,Ciesco,£9.99
Pi Camera,,Adafruit,$29.95
Pi NoIR camera,,Adafruit,$29.95
microSD USB Reader,Sparkfun,Proto Pic,£6.94
Miniature WiFi 150Mbps (802.11b/g/n),,Proto Pic,£10.07
USB 2.0 powered hub,,Adafruit,$21.95
Cerberus USB Cable - 6ft w hub,Sparkfun,Proto Pic,£4.79
Kingston SDC4/4GB 4GB SDHC,,Proto Pic,£6.60

Battery Holder 2xAA Cover Switch JST,Sparkfun,Proto Pic,£1.32
Battery holder 3xAA with switch
Battery holder 3xAAA with switch,,Adafruit,$1.95
9v battery holders with switch & barrel,,Adafruit,$3.95

LiPo battery 3.7v 2500mAh,,Proto Pic,£13.19
LiPo battery 3.7v 2000mAh,,Proto Pic,£11.89
LiPo Battery 3.7v 1000mAh,,Proto Pic,£5.99
LiPo Battery 3.7v 850mAh,,Proto Pic,£6.30
LiPo Battery 3.7v 400mAh,,Proto Pic,£7.01
LiPo battery 3.7v 110mAh,,Proto Pic,£5.30
LiPo battery 3.7v 40mAh,,Proto Pic,£3.83
USB/DC LiPo charger 5-12V - 3.7/4.2v,,Adafruit,$17.95

2x 2032 Coin Cell Holder - 6V,,Proto Pic,£3.00
Coin Cell Holder - 20mm,,Proto Pic,£0.28
Sewable CR2032 Battery Holder,,Proto Pic,£1.32
CR2032 Lithium Coin Cell Battery,,Proto Pic,£1.04

9v PP3 Cell Ultra Battery pack of 1,,Proto Pic,£5.16
12 pack AA battery,,Proto Pic,£12.77
AAA battery

3ply conductive thread,,Adafruit,$6.95
2ply conductive thread,,Adafruit,$5.95
Tactile on/off switch,,Adafruit,$3.95

8 channel logic level converter,,Proto Pic,£8.39
ADS1115 16-Bit ADC,,Proto Pic,£17.94
E1115 PS/2 Keyboard to TTL Serial,,Adafruit,$15.95
6-pin AVR ISP Breadboard Adapter Kit,,Adafruit,$0.95
6-pin Socket/Socket IDC cable - 6",,Adafruit,$2.00

4 channel Arduino relay shield,Seeedstudio,Proto Pic,£18.79
Motor/Stepper/Servo shield v2,Adafruit,Proto Pic,£16.32
Wave shield v1.1,Adafruit,Proto Pic,£18.01
MIDI Shield,Sparkfun,Proto Pic,£13.87
ProtoScrewShield,Sparkfun,Proto Pic,£9.94
Servo shield,,Adafruit,$14.95
Motor party add-on pack for Arduino,,Adafruit,$42.00

RGB LCD Shield Kit 16x2 NEGATIVE DISPLAY,Adafruit,Proto Pic,£20.39
LCD Button Shield,Sparkfun,Proto Pic,£13.19
RGB backlight positive LCD 16x2 + extras,Adafruit,Proto Pic,£9.94

Monochrome 1.3" 128x64 OLED,Adafruit,Proto Pic,£21.00
Monochrome 0.96" 128x64 OLED,Adafruit,Proto Pic,£16.79
1.8" 18bit Color TFT Shield microSDd Joystick,Adafruit,Proto Pic,£29.99
RePaper - 2.7" Graphic eInk,,Proto Pic,£38.39
4x Breadboard RGB Smart NeoPixel,Adafruit,Proto Pic,£6.35
0.56" 4Digit 7Seg I2C Blue,Adafruit,Proto Pic,£10.80
NeoPixel RGB LED Weatherproof 30 LED 1m  BLACK,Adafruit,Proto Pic,£14.39
Adafruit NeoPixel NeoMatrix 8x8 - 64 RGB LED Pixel Matrix,Adafruit,Proto Pic,£29.40
AdaFruit NeoPixel Ring - 16 x WS2812 5050 RGB LED with Integrated Drivers,Adafruit,Proto Pic,£8.40
NeoPixel Stick - 8 x WS2812 5050 RGB LED with Integrated Drivers,Adafruit,Proto Pic,£5.03

Thermocouple Amplifier MAX31855 $17.50
TSL2561 digital luminosity / lux / light sensor $5.95
IR distance sensor includes cable (10cm-80cm) $14.95
IR distance sensor includes cable (20cm-150cm) $15.95
Liquid Flow Meter - Plastic 1/2" NPS Threaded $9.95
RGB Color Sensor with IR filter - TCS34725 $14.95
Conductive Rubber Cord Stretch Sensor + extras! $9.95
12" eTape Liquid Level Sensor + extras $39.95
Contact-less Infrared Thermopile Sensor Breakout - TMP006 $14.95
Magnetic contact switch (door sensor) $4.00
Circular Soft Potentiometer (Ribbon Sensor) $14.95
12V Solenoid Valve - 3/4",Sparkfun,Proto Pic,£6.23

Standalone Momentary Capacitive Touch Sensor Breakout,,Adafruit,$5.95
Standalone 5-Pad Capacitive Touch Sensor Breakout - AT42QT1070,,Adafruit,$7.50
CAP1188 - 8-Key Capacitive Touch Sensor Breakout - I2C or SPI,,Adafruit,$7.95
MPR121 Capacitive Touch Sensor,Sparkfun,Proto Pic,£6.94

Small Arcade Joystick,Adafruit,Proto Pic,£11.99
Joystick Shield Kit for Arduino,Sparkfun,Proto Pic,£8.86
Keypad - 12 Button,Sparkfun,Proto Pic,£3.00
Pull Chain Switch,Sparkfun,Proto Pic,£1.54
Tactile Button Assortment,Sparkfun,Proto Pic,£3.44
